Known_outcome,ipTM flg22_FLS2,ipTM_flg22_coreceptor,Pae min flg22_FLS2,Pae min flg22_coreceptor
Perception,0.886666667,0.673333333,2.02,2.206666667
Perception,0.893333333,0.673333333,2.176666667,2.376666667
Perception,0.89,0.67,2.103333333,2.326666667
Perception,0.88,0.66,2.29,2.54
Perception,0.876666667,0.643333333,2.203333333,2.616666667
Perception,0.886666667,0.653333333,2.103333333,2.433333333
Perception,0.88,0.643333333,2.203333333,2.556666667
Perception,0.836666667,0.57,3.673333333,4.516666667
Perception,0.9,0.693333333,2.016666667,2.23
Perception,0.856666667,0.633333333,2.733333333,2.866666667
Perception,0.87,0.643333333,2.45,2.706666667
Perception,0.85,0.593333333,3.273333333,3.9
Perception,0.896666667,0.666666667,2.23,2.616666667
Perception,0.883333333,0.68,1.933333333,2.05
Perception,0.9,0.676666667,2.126666667,2.33
Perception,0.893333333,0.666666667,1.92,2.256666667
Perception,0.91,0.7,1.85,2.016666667
Perception,0.893333333,0.666666667,2.126666667,2.46
Perception,0.893333333,0.686666667,1.793333333,1.94
Perception,0.863333333,0.643333333,2.293333333,2.633333333
Perception,0.896666667,0.683333333,1.87,2.016666667
Perception,0.86,0.603333333,3.206666667,3.866666667
Perception,0.893333333,0.67,2.356666667,2.4
No perception,0.826666667,0.62,3.51,2.876666667
No perception,0.62,0.36,6.99,9.746666667
No perception,0.563333333,0.33,9.21,9.233333333
No perception,0.623333333,0.386666667,7.24,8.12
No perception,0.556666667,0.303333333,9.756666667,10.34333333
No perception,0.456666667,0.253333333,12.60333333,12.08666667
No perception,0.786666667,0.553333333,3.273333333,3.446666667
No perception,0.476666667,0.263333333,13.14666667,11.42666667
No perception,0.573333333,0.346666667,7.876666667,9.96
No perception,0.65,0.39,7.153333333,9.203333333
No perception,0.606666667,0.36,8.433333333,10.35
No perception,0.633333333,0.4,6.973333333,7.566666667
No perception,0.44,0.25,12.90333333,11.66666667
No perception,0.533333333,0.3,9.516666667,10.09333333
No perception,0.556666667,0.313333333,8.623333333,10.57
No perception,0.763333333,0.566666667,3.956666667,3.266666667
No perception,0.566666667,0.313333333,9.156666667,9.54
No perception,0.503333333,0.26,11.3,11.63666667
No perception,0.566666667,0.313333333,9.326666667,10.58
No perception,0.51,0.306666667,10.89666667,10.22
No perception,0.626666667,0.353333333,7.506666667,9.683333333
No perception,0.683333333,0.393333333,5.893333333,9.776666667
No perception,0.58,0.323333333,7.17,9.563333333
No perception,0.68,0.413333333,5.486666667,8.36
No perception,0.543333333,0.3,9.386666667,11.16
No perception,0.526666667,0.3,8.683333333,10.10333333
No perception,0.656666667,0.443333333,6.276666667,6.706666667
No perception,0.583333333,0.34,8.5,9.986666667
No perception,0.576666667,0.323333333,8.273333333,11.29333333
No perception,0.443333333,0.253333333,12.6,11.57666667
No perception,0.67,0.433333333,6.043333333,6.363333333
No perception,0.583333333,0.346666667,7.296666667,9.266666667
No perception,0.566666667,0.316666667,9.863333333,10.99
No perception,0.573333333,0.336666667,8.783333333,9.906666667
No perception,0.496666667,0.29,10.85,10.67
No perception,0.536666667,0.313333333,8.946666667,10.21666667
No perception,0.61,0.343333333,6.786666667,9.273333333
No perception,0.51,0.303333333,9.81,9.326666667
No perception,0.333333333,0.173333333,16.84,15.16333333
No perception,0.453333333,0.246666667,11.03666667,11.36
No perception,0.55,0.303333333,8.866666667,10.63
No perception,0.48,0.253333333,10.26666667,11.30666667
No perception,0.553333333,0.31,9.593333333,10.73
No perception,0.54,0.28,7.813333333,13.09333333
No perception,0.53,0.296666667,9.006666667,10.31333333
No perception,0.7,0.456666667,4.993333333,6.026666667
No perception,0.6,0.366666667,5.68,8.21
No perception,0.493333333,0.26,9.723333333,11.64
No perception,0.736666667,0.48,3.873333333,5.87
No perception,0.75,0.486666667,3.7,5.22
No perception,0.433333333,0.256666667,11.85666667,11.99666667
No perception,0.75,0.49,4.19,5.37
No perception,0.763333333,0.513333333,4.53,5.39
No perception,0.483333333,0.27,9.24,10.02666667
No perception,0.483333333,0.26,10.79333333,12.5
No perception,0.67,0.39,5.406666667,7.99
No perception,0.786666667,0.563333333,3.3,3.43
No perception,0.74,0.373333333,3.996666667,10.2
No perception,0.646666667,0.43,6.396666667,6.61
No perception,0.73,0.526666667,4.463333333,3.923333333
Perception,0.906666667,0.693333333,1.966666667,2.03
Perception,0.893333333,0.676666667,2.066666667,2.343333333
No perception,0.583333333,0.32,8.543333333,10.26333333
No perception,0.85,0.606666667,2.606666667,3.273333333
Perception,0.896666667,0.663333333,2.193333333,2.563333333
No perception,0.653333333,0.403333333,5.203333333,6.996666667
No perception,0.476666667,0.276666667,9.996666667,9.873333333
No perception,0.78,0.45,3.98,8.536666667
No perception,0.73,0.316666667,4.67,11.69666667
No perception,0.843333333,0.59,3.486666667,4.01
No perception,0.863333333,0.643333333,3.11,3.116666667
No perception,0.796666667,0.553333333,2.663333333,3.74
No perception,0.363333333,0.166666667,14.68333333,15.01
No perception,0.6,0.356666667,8.4,9.806666667
